Postal Code,Date,Sentiment,Year
80234,31/12/2024,Negative,2024
80211,31/12/2024,Positive,2024
80221,31/12/2024,Neutral,2024
80120,31/12/2024,Positive,2024
80219,31/12/2024,Positive,2024
80014,31/12/2024,Positive,2024
80204,31/12/2024,Neutral,2024
80002,31/12/2024,Neutral,2024
80211,31/12/2024,Positive,2024
80016,31/12/2024,Neutral,2024
80219,31/12/2024,Positive,2024
80211,31/12/2024,Positive,2024
80211,31/12/2024,Negative,2024
80219,31/12/2024,Negative,2024
80204,31/12/2024,Positive,2024
80238,31/12/2024,Neutral,2024
80221,31/12/2024,Positive,2024
80016,31/12/2024,Neutral,2024
80016,31/12/2024,Negative,2024
80002,30/12/2024,Neutral,2024
80221,30/12/2024,Neutral,2024
80204,30/12/2024,Negative,2024
80238,30/12/2024,Positive,2024
80204,30/12/2024,Negative,2024
80016,30/12/2024,Neutral,2024
80002,30/12/2024,Positive,2024
80211,30/12/2024,Positive,2024
80204,30/12/2024,Positive,2024
80014,30/12/2024,Positive,2024
80014,30/12/2024,Negative,2024
80211,30/12/2024,Positive,2024
80120,30/12/2024,Positive,2024
80120,30/12/2024,Positive,2024
80234,30/12/2024,Negative,2024
80234,29/12/2024,Positive,2024
80211,29/12/2024,Neutral,2024
80016,29/12/2024,Positive,2024
80014,29/12/2024,Neutral,2024
80221,29/12/2024,Positive,2024
80014,29/12/2024,Positive,2024
80211,29/12/2024,Neutral,2024
80221,29/12/2024,Positive,2024
80219,29/12/2024,Negative,2024
80211,29/12/2024,Positive,2024
80002,29/12/2024,Negative,2024
80014,29/12/2024,Positive,2024
80221,29/12/2024,Neutral,2024
80219,29/12/2024,Positive,2024
80221,29/12/2024,Positive,2024
80120,29/12/2024,Neutral,2024
80238,29/12/2024,Negative,2024
80204,29/12/2024,Positive,2024
80016,29/12/2024,Positive,2024
80219,29/12/2024,Positive,2024
80016,29/12/2024,Positive,2024
80016,29/12/2024,Positive,2024
80120,29/12/2024,Positive,2024
80016,28/12/2024,Neutral,2024
80211,28/12/2024,Positive,2024
80219,28/12/2024,Negative,2024
80238,28/12/2024,Positive,2024
80238,28/12/2024,Positive,2024
80219,28/12/2024,Positive,2024
80219,28/12/2024,Neutral,2024
80204,28/12/2024,Neutral,2024
80016,28/12/2024,Positive,2024
80234,28/12/2024,Positive,2024
80211,28/12/2024,Neutral,2024
80234,28/12/2024,Positive,2024
80204,28/12/2024,Positive,2024
80002,28/12/2024,Positive,2024
80002,28/12/2024,Neutral,2024
80002,28/12/2024,Neutral,2024
